"Date","city","original_start","wave","citycode","New_cases","New_cases_smooth","growth_rate","I","Mean.R.","Std.R.","Quantile.0.025.R.","Quantile.0.05.R.","Quantile.0.25.R.","Median.R.","Quantile.0.75.R.","Quantile.0.95.R.","Quantile.0.975.R.","variant","GDP","pop_density","pop","Doctor.number","VG","Label_q","Temp","Hum","total_vaccination_rate","fully_vaccination_rate","boost_dose_rate","Practical.vaccination","Control","Mass_screening","Medicine_Management","Logistics_Management","School_Closure","Workplace_Closure","Gathering_restriction","Public_Transportation_Closure","Business_Premises_Closure","Facial_Mask","Lockdown","Static_management","Screening"
2021-12-09,"宁波市","2021-12-06",1,330200,11,9.2761,0.94,9.2761,0.928715287264153,0.133052264077709,0.686432818673013,0.721223575573432,0.835850729499675,0.922369168850019,1.01466514010298,1.15785646388022,1.20705279317739,"delta",12409,0.0972290138549307,954.4,31891,"delta",1,286.027151303137,0.00689216038182914,0.971196483180428,0.894667431192661,0.080510352293578,0.477570365486239,1,0.208163265306123,0.142857142857143,0.583333333333333,0,0.25,0.583333333333333,0.357142857142857,0.3,1,0.68,0.603619047619048,0.175510204081633
2021-12-10,"宁波市","2021-12-06",1,330200,8,8.1505,0.88,8.1505,0.863795900560078,0.133775937536053,0.621737804506965,0.656145532939002,0.770202632495993,0.856899849292084,0.949875880768283,1.09497222266598,1.14503169610976,"delta",12409,0.0972290138549307,954.4,31891,"delta",1,284.346933833247,0.00606306432111927,0.971196483180428,0.924480135779817,0.100796767584098,0.499117434195719,1,0.253061224489796,0.178571428571429,0.583333333333333,0,0.3125,0.583333333333333,0.383928571428571,0.325,1,0.8,0.704190476190476,0.215816326530612
2021-12-11,"宁波市","2021-12-06",1,330200,6,6.8145,0.84,6.8145,0.80528919474044,0.136998132741046,0.559484035737712,0.593952803166486,0.709147930922074,0.797533820117871,0.892981936970639,1.04308380991779,1.09515120392065,"delta",12409,0.0972290138549307,954.4,31891,"delta",1,285.185678598382,0.00665872364597815,0.971196483180428,0.924480135779817,0.100796767584098,0.499117434195719,1,0.29795918367347,0.214285714285714,0.583333333333333,0,0.375,0.583333333333333,0.410714285714286,0.35,1,0.8,0.708761904761905,0.256122448979592
2021-12-12,"宁波市","2021-12-06",1,330200,5,5.5413,0.81,5.5413,0.739844215142405,0.14133584548064,0.489216612947689,0.523696003786777,0.640257585548782,0.730863926519448,0.829649708224369,0.986630759218298,1.04148218023349,"delta",12409,0.0972290138549307,954.4,31891,"delta",1,282.136009209053,0.00588253375388496,0.971196483180428,0.924480135779817,0.100796767584098,0.499117434195719,1,0.342857142857143,0.357142857142857,0.666666666666667,0,0.375,0.666666666666667,0.446428571428571,0.4,1,0.8,0.71552380952381,0.35
2022-03-24,"宁波市","2022-03-28",1,330200,0,0.4016,2.45,0.4016,2.90575850484624,0.851539286848801,1.48397639304472,1.66054559253575,2.29539711126264,2.82301333339877,3.42610435467721,4.43334694397839,4.79724663282327,"omicron",12409,0.0972290138549307,954.4,31891,"omicron",1,286.382607120548,0.00725516244308537,1.01126606804281,0.986740241131498,0.561136558103976,0.677867520364679,0,0.0285714285714286,1,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.5,0.4,1,0.2,0.256,0.514285714285714
2022-03-25,"宁波市","2022-03-28",1,330200,0,0.8199,2.04,0.8199,2.41110132966781,0.627083481580305,1.34293712185695,1.48029415258862,1.96389448295871,2.35696033061169,2.79938362224633,3.52665256761514,3.78667424893578,"omicron",12409,0.0972290138549307,954.4,31891,"omicron",1,289.263530615901,0.011109597531469,1.01126606804281,0.986740241131498,0.561136558103976,0.677867520364679,0,0.0285714285714286,1,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.5,0.4,1,0.2,0.256,0.514285714285714
2022-03-26,"宁波市","2022-03-28",1,330200,1,1.4123,1.72,1.4123,2.05031435577504,0.486080352998927,1.21095620067809,1.32143258838904,1.70497849277778,2.0120322687356,2.35397411599573,2.90981755657668,3.10706847119983,"omicron",12409,0.0972290138549307,954.4,31891,"omicron",1,285.586619298153,0.00738432690399551,1.01126606804281,0.986740241131498,0.561136558103976,0.677867520364679,0,0.0285714285714286,1,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.5,0.4,1,0.2,0.256,0.514285714285714
2022-03-27,"宁波市","2022-03-28",1,330200,2,2.0823,1.47,2.0823,1.78284871720761,0.394151096906314,1.09584492816066,1.18770042011107,1.50359834834653,1.7538881254526,2.0305652826767,2.4768090720325,2.63432953103283,"omicron",12409,0.0972290138549307,954.4,31891,"omicron",1,284.16946597885,0.00658874633135334,1.01126606804281,0.986740241131498,0.561136558103976,0.677867520364679,0,0.0285714285714286,1,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.5,0.4,1,0.2,0.256,0.514285714285714
2022-03-28,"宁波市","2022-03-28",1,330200,4,2.6778,1.29,2.6778,1.57812732870646,0.331885958278184,0.996038867507329,1.07467828712295,1.34344303104749,1.55492368270603,1.78754343810857,2.16074413168852,2.29200520129678,"omicron",12409,0.0972290138549307,954.4,31891,"omicron",1,282.525827772745,0.0062574227501099,1.01126606804281,0.986740241131498,0.561136558103976,0.677867520364679,0,0.0285714285714286,1,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.5,0.4,1,0.2,0.256,0.514285714285714
2022-03-29,"宁波市","2022-03-28",1,330200,4,3.0863,1.15,3.0863,1.41697803797678,0.28844669083036,0.909117314504156,0.978169441405578,1.21326096323072,1.3974543101465,1.59943282818551,1.92239804715336,2.03573143925835,"omicron",12409,0.0972290138549307,954.4,31891,"omicron",1,286.426840560121,0.00752283442572548,1.01126606804281,0.986740241131498,0.561136558103976,0.677867520364679,0.266666666666667,0.0285714285714286,1,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.5,0.4,1,0.2,0.256,0.514285714285714
2022-03-30,"宁波市","2022-03-28",1,330200,3,3.3034,1.07,3.3034,1.28939891908779,0.257775148344021,0.834594546955048,0.8966457457492,1.10746611244546,1.27226216297381,1.45266830542411,1.74061914816886,1.84154009510595,"omicron",12409,0.0972290138549307,954.4,31891,"omicron",1,288.731605502971,0.0101703779265155,1.01126606804281,0.986740241131498,0.561136558103976,0.677867520364679,0.8,0.0285714285714286,1,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.5,0.4,1,0.2,0.256,0.514285714285714
2022-03-31,"宁波市","2022-03-28",1,330200,3,3.41,1.03,3.41,1.19055155402154,0.236342929054066,0.773227271266371,0.830239996059792,1.0237885934293,1.17494935935191,1.34032213591896,1.60409440916954,1.69649697537444,"omicron",12409,0.0972290138549307,954.4,31891,"omicron",1,282.778591130927,0.00684466857722282,1.01298488761468,0.987936312079511,0.580919741896025,0.684802155006881,0.75,0.0285714285714286,1,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.5,0.4,1,0.2,0.256,0.514285714285714
2022-04-01,"宁波市","2022-03-28",1,330200,4,3.4878,1.02,3.4878,1.11772050640427,0.221921134738502,0.725868864645877,0.779400014961895,0.961132582487149,1.10306798247971,1.25835034473785,1.50603222817631,1.59279910197745,"omicron",12409,0.0972290138549307,954.4,31891,"omicron",1,281.352243282373,0.0049664211804492,1.01298488761468,0.987936312079511,0.580919741896025,0.684802155006881,1,0.0285714285714286,1,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.5,0.4,1,0.2,0.256,0.514285714285714
2022-04-02,"宁波市","2022-03-28",1,330200,3,3.5627,1.02,3.5627,1.06853924114783,0.212931636676027,0.692716038018011,0.74402255884012,0.918274095715358,1.05442912544483,1.20343714573469,1.44119664629914,1.52450819478715,"omicron",12409,0.0972290138549307,954.4,31891,"omicron",1,281.602325766269,0.00450971808797836,1.01298488761468,0.987936312079511,0.580919741896025,0.684802155006881,1,0.0285714285714286,1,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.5,0.4,1,0.2,0.256,0.514285714285714
2022-04-03,"宁波市","2022-03-28",1,330200,4,3.6041,1.01,3.6041,1.03952957711759,0.208041186171821,0.672517325195437,0.722580662844468,0.892692315876949,1.0256845639088,1.17128844362997,1.40371482399191,1.48518144090435,"omicron",12409,0.0972290138549307,954.4,31891,"omicron",1,282.419534579993,0.0045980476169888,1.01298488761468,0.987936312079511,0.580919741896025,0.684802155006881,1,0.0285714285714286,1,0.666666666666667,0.333333333333333,0.5,0.666666666666667,0.5,0.4,1,0.2,0.256,0.514285714285714
2022-04-04,"宁波市","2022-03-28",1,330200,4,3.566,0.99,3.566,1.02448389732954,0.205861234096748,0.66148547767185,0.710963497671029,0.879163473891523,1.0107286961158,1.15482385669523,1.38493428822845,1.46561146540268,"omicron",12409,0.0972290138549307,954.4,31891,"omicron",1,284.627797355912,0.005379694905779,1.01298488761468,0.987936312079511,0.580919741896025,0.684802155006881,0.666666666666667,0.104761904761905,1,0.708333333333334,0.333333333333333,0.5625,0.716666666666667,0.546875,0.43,1,0.28,0.327575,0.552380952380952
2022-04-05,"宁波市","2022-03-28",1,330200,4,3.4413,0.97,3.4413,1.01447333934832,0.204921947392148,0.653349242595636,0.702522769378678,0.869787765505252,1.00070923563746,1.14416890789768,1.37338437711089,1.45377671584104,"omicron",12409,0.0972290138549307,954.4,31891,"omicron",1,286.897933848288,0.00669535094851323,1.01378959327217,0.988687832721712,0.589911870183486,0.68805915398318,0.5,0.180952380952381,1,0.75,0.333333333333333,0.625,0.766666666666667,0.59375,0.46,1,0.36,0.39915,0.59047619047619
2022-04-06,"宁波市","2022-03-28",1,330200,3,3.2951,0.96,3.2951,1.00026008321304,0.203971242568786,0.641205761362812,0.690008858524804,0.856194915429972,0.98643028456112,1.12926398337302,1.35769610353078,1.43786602868754,"omicron",12409,0.0972290138549307,954.4,31891,"omicron",1,289.023239073281,0.00766313072759562,1.01378959327217,0.988687832721712,0.589911870183486,0.68805915398318,0.666666666666667,0.257142857142857,1,0.791666666666667,0.333333333333333,0.6875,0.816666666666667,0.640625,0.49,1,0.44,0.470725,0.628571428571428
